Miasta,Województwo,Powiaty i miasta na prawach powiatu,Area in km²,Population,Search
Jawor,dolnośląskie,Jaworski,19,20503,jawor
Wieluń,łódzkie,Wieluński,17,20448,wielun
Nowa Ruda,dolnośląskie,Kłodzki,37,20421,nowa%20ruda
Rydułtowy,śląskie,Wodzisławski,15,20168,rydultowy
Działdowo,warmińsko-mazurskie,Działdowski,12,20125,dzialdowo
Gostyń,wielkopolskie,Gostyński,11,19814,gostyn
Lubartów,lubelskie,Lubartowski,14,19734,lubartow
Gryfino,zachodniopomorskie,Gryfiński,12,19691,gryfino
Rawicz,wielkopolskie,Rawicki,9,19655,rawicz
Lubań,dolnośląskie,Lubański,16,19545,luban
Koło,wielkopolskie,Kolski,14,19417,kolo
Konstantynów Łódzki,łódzkie,Pabianicki,27,19231,konstantynow%20lodzki
Pułtusk,mazowieckie,Pułtuski,23,19064,pultusk
Hajnówka,podlaskie,Hajnowski,21,18976,hajnowka
Prudnik,opolskie,Prudnicki,20,18974,prudnik
Opoczno,łódzkie,Opoczyński,27,18913,opoczno
Bieruń,śląskie,Bieruńsko-lędziński,40,18835,bierun
Trzebinia,małopolskie,Chrzanowski,32,18502,trzebinia
Sokołów Podlaski,mazowieckie,Sokołowski,17,18361,sokolow%20podlaski
Andrychów,małopolskie,Wadowicki,10,18311,andrychow
Łomianki,mazowieckie,Warszawski zachodni,8,18226,lomianki
Szamotuły,wielkopolskie,Szamotulski,11,18219,szamotuly
Zielonka,mazowieckie,Wołomiński,79,18143,zielonka
Złotów,wielkopolskie,Złotowski,12,18138,zlotow
Ozorków,łódzkie,Zgierski,15,18064,ozorkow
Chełmno,kujawsko-pomorskie,Chełmiński,14,18052,chelmno
Tomaszów Lubelski,lubelskie,Tomaszowski,13,17848,tomaszow%20lubelski
Myślenice,małopolskie,Myślenicki,30,17745,myslenice
Łańcut,podkarpackie,Łańcucki,19,17703,lancut
Pisz,warmińsko-mazurskie,Piski,10,17672,pisz
Kęty,małopolskie,Oświęcimski,23,17669,kety
